epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2716.13,1.18121,2.4062,1.05036,1.16675,0.72972,0.56097,0.63955,0.40705,0.72554,0.54205,0.61793,0.3426,1.22825,2.50686,1.06939,1.20132,0.0014258,0.0014258,0.0014258
31,2806.94,1.18868,2.4098,1.05752,1.17189,0.7159,0.5834,0.65826,0.42409,0.71726,0.55998,0.6359,0.35494,1.21418,2.46568,1.02406,1.18428,0.001406,0.001406,0.001406
32,2897.68,1.18828,2.39769,1.04883,1.16922,0.73389,0.57235,0.65761,0.42833,0.72728,0.55949,0.63497,0.35719,1.18551,2.4454,1.01215,1.17567,0.0013862,0.0013862,0.0013862
33,2987.63,1.18147,2.39763,1.04504,1.16167,0.72884,0.581,0.66155,0.42867,0.73161,0.55961,0.63974,0.35789,1.20437,2.45915,1.02165,1.18646,0.0013664,0.0013664,0.0013664
34,3077.67,1.18711,2.39197,1.04371,1.1666,0.72462,0.58422,0.65501,0.42473,0.73797,0.56344,0.63883,0.35543,1.2079,2.44571,1.01928,1.19621,0.0013466,0.0013466,0.0013466
35,3167.83,1.17055,2.37302,1.03187,1.16379,0.74106,0.58822,0.66457,0.43088,0.73561,0.57457,0.64674,0.36064,1.18826,2.45247,0.98947,1.18078,0.0013268,0.0013268,0.0013268
36,3258.2,1.15932,2.35736,1.01344,1.15977,0.71931,0.5763,0.65663,0.42395,0.7174,0.55825,0.63507,0.35609,1.19237,2.44126,1.02549,1.17728,0.001307,0.001307,0.001307
37,3348.86,1.16905,2.35979,1.02636,1.15226,0.72802,0.58645,0.66763,0.43475,0.73385,0.56765,0.64869,0.36277,1.18858,2.42475,1.00449,1.1761,0.0012872,0.0012872,0.0012872
38,3438.92,1.14969,2.33922,0.99863,1.1508,0.71069,0.57853,0.65736,0.43178,0.71326,0.56369,0.63771,0.35889,1.18346,2.41598,1.01112,1.16282,0.0012674,0.0012674,0.0012674
39,3528.86,1.15562,2.32541,1.01431,1.15074,0.73451,0.58471,0.67207,0.44002,0.73572,0.56517,0.64716,0.3687,1.1691,2.40387,0.9843,1.16276,0.0012476,0.0012476,0.0012476
40,3618.93,1.14749,2.33368,0.99971,1.14342,0.73173,0.58423,0.66474,0.4343,0.73,0.56394,0.64209,0.36219,1.18247,2.40603,0.99234,1.16415,0.0012278,0.0012278,0.0012278
41,3708.75,1.1607,2.33865,0.99285,1.14972,0.75208,0.56394,0.66256,0.43571,0.74431,0.55058,0.64015,0.3652,1.17809,2.38746,0.99849,1.15994,0.001208,0.001208,0.001208
42,3798.9,1.15048,2.33588,0.99839,1.14593,0.74042,0.58768,0.6716,0.43966,0.74952,0.56715,0.64951,0.37084,1.17307,2.39648,0.97548,1.15692,0.0011882,0.0011882,0.0011882
